id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
1,Bulbasaur,0.7,6.9,45,49,49,65,65,45,Grass,Poison,False,False,Monster,Plant,Gen-1,45,70,False,20,,False,318
2,Ivysaur,1.0,13.0,60,62,63,80,80,60,Grass,Poison,False,False,Monster,Plant,Gen-1,45,70,False,20,,False,405
3,Venusaur,2.0,100.0,80,82,83,100,100,80,Grass,Poison,False,False,Monster,Plant,Gen-1,45,70,False,20,,False,525
4,Charmander,0.6,8.5,39,52,43,60,50,65,Fire,,False,False,Monster,Dragon,Gen-1,45,70,False,20,,False,309
5,Charmeleon,1.1,19.0,58,64,58,80,65,80,Fire,,False,False,Monster,Dragon,Gen-1,45,70,False,20,,False,405
6,Charizard,1.7,90.5,78,84,78,109,85,100,Fire,Flying,False,False,Monster,Dragon,Gen-1,45,70,False,20,,False,534
7,Squirtle,0.5,9.0,44,48,65,50,64,43,Water,,False,False,Monster,Water1,Gen-1,45,70,False,20,,False,314
8,Wartortle,1.0,22.5,59,63,80,65,80,58,Water,,False,False,Monster,Water1,Gen-1,45,70,False,20,,False,405
9,Blastoise,1.6,85.5,79,83,100,85,105,78,Water,,False,False,Monster,Water1,Gen-1,45,70,False,20,,False,530
10,Caterpie,0.3,2.9,45,30,35,20,20,45,Bug,,False,False,Bug,,Gen-1,255,70,False,15,,False,195
11,Metapod,0.7,9.9,50,20,55,25,25,30,Bug,,False,False,Bug,,Gen-1,120,70,False,15,,False,205
12,Butterfree,1.1,32.0,60,45,50,90,80,70,Bug,Flying,False,False,Bug,,Gen-1,45,70,False,15,,False,395
13,Weedle,0.3,3.2,40,35,30,20,20,50,Bug,Poison,False,False,Bug,,Gen-1,255,70,False,15,,False,195
14,Kakuna,0.6,10.0,45,25,50,25,25,35,Bug,Poison,False,False,Bug,,Gen-1,120,70,False,15,,False,205
15,Beedrill,1.0,29.5,65,90,40,45,80,75,Bug,Poison,False,False,Bug,,Gen-1,45,70,False,15,,False,395
16,Pidgey,0.3,1.8,40,45,40,35,35,56,Normal,Flying,False,False,Flying,,Gen-1,255,70,False,15,,False,251
17,Pidgeotto,1.1,30.0,63,60,55,50,50,71,Normal,Flying,False,False,Flying,,Gen-1,120,70,False,15,,False,349
18,Pidgeot,1.5,39.5,83,80,75,70,70,101,Normal,Flying,False,False,Flying,,Gen-1,45,70,False,15,,False,479
19,Rattata,0.3,3.5,30,56,35,25,35,72,Normal,,False,False,Ground,,Gen-1,255,70,False,15,,False,253
20,Raticate,0.7,18.5,55,81,60,50,70,97,Normal,,False,False,Ground,,Gen-1,127,70,False,15,,False,413
21,Spearow,0.3,2.0,40,60,30,31,31,70,Normal,Flying,False,False,Flying,,Gen-1,255,70,False,15,,False,262
22,Fearow,1.2,38.0,65,90,65,61,61,100,Normal,Flying,False,False,Flying,,Gen-1,90,70,False,15,,False,442
23,Ekans,2.0,6.9,35,60,44,40,54,55,Poison,,False,False,Ground,Dragon,Gen-1,255,70,False,20,,False,288
24,Arbok,3.5,65.0,60,95,69,65,79,80,Poison,,False,False,Ground,Dragon,Gen-1,90,70,False,20,,False,448
25,Pikachu,0.4,6.0,35,55,40,50,50,90,Electric,,False,False,Ground,Fairy,Gen-1,190,70,False,10,,False,320
26,Raichu,0.8,30.0,60,90,55,90,80,110,Electric,,False,False,Ground,Fairy,Gen-1,75,70,False,10,,False,485
27,Sandshrew,0.6,12.0,50,75,85,20,30,40,Ground,,False,False,Ground,,Gen-1,255,70,False,20,,False,300
28,Sandslash,1.0,29.5,75,100,110,45,55,65,Ground,,False,False,Ground,,Gen-1,90,70,False,20,,False,450
29,Nidoran-f,0.4,7.0,55,47,52,40,40,41,Poison,,False,False,Monster,Ground,Gen-1,235,70,False,20,,False,275
30,Nidorina,0.8,20.0,70,62,67,55,55,56,Poison,,False,False,No-eggs,,Gen-1,120,70,False,20,,False,365
31,Nidoqueen,1.3,60.0,90,92,87,75,85,76,Poison,Ground,False,False,No-eggs,,Gen-1,45,70,False,20,,False,505
